"log_dt","shop_no","position","clk_cnt"
"2018-04-02","730629","0","1"
"2018-04-03","715545","4","1"
"2018-04-03","723160","0","4"
"2018-04-02","728696","3","1"
"2018-04-04","744983","2","1"
"2018-04-04","624996","3","1"
"2018-04-03","722575","3","2"
"2018-04-03","744860","0","1"
"2018-04-04","723547","0","1"
"2018-04-04","733348","4","1"
"2018-04-04","685310","2","1"
"2018-04-04","746847","3","2"
"2018-04-04","733166","0","3"
"2018-04-05","571280","2","1"
"2018-04-04","703259","2","1"
"2018-04-05","696554","0","1"
"2018-04-01","732243","1","2"
"2018-04-04","620065","3","1"
"2018-04-05","718050","2","1"
"2018-04-05","750279","0","3"
"2018-04-05","749033","4","1"
"2018-04-05","615044","0","5"
"2018-04-05","741524","4","2"
"2018-04-01","715552","4","1"
"2018-04-01","736749","3","1"
"2018-04-05","722961","4","2"
"2018-04-05","713686","1","2"
"2018-04-06","725175","3","1"
"2018-04-02","745034","1","1"
"2018-04-07","741201","0","2"
"2018-04-02","634821","0","1"
"2018-04-03","731467","1","3"
"2018-04-07","737563","3","1"
"2018-04-06","729452","3","1"
"2018-04-06","702937","2","2"
"2018-04-03","688620","4","1"
"2018-04-03","632115","2","4"
"2018-04-07","641987","2","1"
"2018-04-07","702610","4","1"
"2018-04-07","642747","2","1"
"2018-04-07","753070","2","2"
"2018-04-06","727974","4","1"
"2018-04-07","750143","3","2"
"2018-04-06","682536","3","1"
"2018-04-04","713503","2","1"
"2018-04-07","616597","4","2"
"2018-04-07","703259","1","3"
"2018-04-04","731624","3","1"
"2018-04-04","736729","4","1"
"2018-04-03","689123","4","3"
"2018-04-02","742589","2","3"
"2018-04-07","672884","2","1"
"2018-04-06","680026","1","1"
"2018-04-05","739095","3","1"
"2018-04-06","633533","1","1"
"2018-04-05","743606","1","1"
"2018-04-05","744607","4","1"
"2018-04-07","692485","0","4"
"2018-04-07","730538","2","3"
"2018-04-07","694019","4","1"
"2018-04-05","747352","2","1"
"2018-04-04","742809","3","1"
"2018-04-05","706519","0","1"
"2018-04-05","685403","2","1"
"2018-04-03","715967","4","1"
"2018-04-05","726655","1","1"
"2018-04-02","604474","1","2"
"2018-04-06","719326","3","1"
"2018-04-06","736504","2","1"
"2018-04-06","725685","0","1"
"2018-04-03","726637","2","1"
"2018-04-06","743291","1","2"
"2018-04-07","730100","1","1"
"2018-04-07","733472","0","1"
"2018-04-07","738920","3","2"
"2018-04-05","751826","4","2"
"2018-04-04","743424","0","1"
"2018-04-03","648460","1","1"
"2018-04-02","571725","4","1"
"2018-04-07","619948","0","2"
"2018-04-07","690295","1","1"
"2018-04-03","718831","3","1"
"2018-04-05","639111","0","1"
"2018-04-02","618553","3","1"
"2018-04-06","644717","0","1"
"2018-04-05","620055","0","1"
"2018-04-01","648102","0","1"
"2018-04-01","729868","4","5"
"2018-04-01","736839","4","1"
"2018-04-01","710955","2","2"
"2018-04-01","730247","1","1"
"2018-04-01","602981","4","1"
"2018-04-01","742436","3","5"
"2018-04-01","734523","4","2"
"2018-04-01","634580","1","2"
"2018-04-02","711348","0","3"
"2018-04-02","686573","4","2"
"2018-04-03","717609","0","3"
"2018-04-03","719326","1","3"
"2018-04-03","725917","4","3"
"2018-04-03","735374","0","2"
"2018-04-04","715515","2","1"
"2018-04-04","730975","1","1"
"2018-04-04","715402","1","4"
"2018-04-04","707112","2","1"
"2018-04-04","682536","0","1"
"2018-04-04","647729","1","1"
"2018-04-05","715506","0","3"
"2018-04-05","741837","3","2"
"2018-04-05","746107","3","1"
"2018-04-05","687173","0","4"
"2018-04-05","733594","1","2"
"2018-04-05","747211","0","3"
"2018-04-05","727854","1","2"
"2018-04-06","739680","3","3"
"2018-04-06","722022","1","5"
"2018-04-06","665387","3","2"
"2018-04-06","671353","2","1"
"2018-04-06","702687","3","3"
"2018-04-06","737862","1","1"
"2018-04-06","752521","2","2"
"2018-04-06","617042","1","2"
"2018-04-06","743165","1","5"
"2018-04-06","746062","4","2"
"2018-04-07","631675","0","2"
"2018-04-07","738376","2","2"
"2018-04-07","744798","4","3"
"2018-04-07","719368","1","4"
"2018-04-02","708740","3","1"
"2018-04-03","681343","2","1"
"2018-04-07","736134","2","3"
"2018-04-02","727205","3","1"
"2018-04-01","693095","3","2"
"2018-04-04","738920","0","1"
"2018-04-06","744581","4","1"
"2018-04-03","739601","2","1"
"2018-04-03","728523","4","1"
"2018-04-03","732895","2","1"
"2018-04-03","702772","2","2"
"2018-04-03","736969","0","1"
"2018-04-03","737335","2","2"
"2018-04-06","729254","1","4"
"2018-04-01","695386","3","1"
"2018-04-01","615756","1","3"
"2018-04-02","634378","2","2"
"2018-04-02","727854","3","1"
"2018-04-02","733427","1","1"
"2018-04-02","726732","0","1"
"2018-04-03","721594","2","1"
"2018-04-03","692487","0","1"
"2018-04-03","734946","3","1"
"2018-04-03","619856","1","1"
"2018-04-04","745967","2","2"
"2018-04-04","731797","2","1"
"2018-04-05","674072","0","1"
"2018-04-05","715926","2","1"
"2018-04-05","598701","4","1"
"2018-04-06","748845","2","1"
"2018-04-06","712178","3","1"
"2018-04-06","672676","4","1"
"2018-04-06","712265","0","1"
"2018-04-06","635844","4","3"
"2018-04-06","710238","1","3"
"2018-04-06","684027","4","1"
"2018-04-06","716916","0","1"
"2018-04-06","637838","2","1"
"2018-04-07","752521","1","5"
"2018-04-07","732105","4","2"
"2018-04-07","733478","2","1"
"2018-04-06","736957","4","1"
"2018-04-07","642986","2","2"
"2018-04-05","728840","4","1"
"2018-04-01","731841","4","3"
"2018-04-06","739714","4","1"
"2018-04-02","644252","2","1"
"2018-04-04","636877","3","1"
"2018-04-04","700716","3","2"
"2018-04-06","658045","4","1"
"2018-04-07","750726","2","1"
"2018-04-06","749163","2","1"
"2018-04-01","661431","2","2"
"2018-04-01","737515","1","1"
"2018-04-05","745967","0","1"
"2018-04-01","614943","1","1"
"2018-04-01","718057","1","1"
"2018-04-01","724939","1","3"
"2018-04-02","637731","0","1"
"2018-04-02","716851","3","2"
"2018-04-03","711968","3","1"
"2018-04-03","731048","3","2"
"2018-04-03","615301","2","1"
"2018-04-04","612470","0","1"
"2018-04-04","703245","1","1"
"2018-04-04","743665","4","1"
"2018-04-05","636395","1","1"
"2018-04-05","726732","0","1"
"2018-04-05","734999","4","1"
"2018-04-05","739610","1","1"
"2018-04-06","686234","1","1"
"2018-04-06","702602","0","3"
"2018-04-06","724252","2","2"
"2018-04-07","621203","4","1"
"2018-04-07","708831","1","1"
"2018-04-01","627879","4","3"
"2018-04-04","719368","2","1"
"2018-04-01","626764","1","1"
"2018-04-07","750071","0","1"
"2018-04-06","734241","2","1"
"2018-04-06","745967","2","1"
"2018-04-07","738974","2","1"
"2018-04-02","661702","0","1"
"2018-04-01","725917","0","1"
"2018-04-01","706178","0","1"
"2018-04-01","728793","1","2"
"2018-04-01","674038","0","1"
"2018-04-01","650947","2","1"
"2018-04-02","716445","3","1"
"2018-04-02","711897","3","1"
"2018-04-03","678625","3","1"
"2018-04-03","715914","1","2"
"2018-04-04","695755","2","2"
"2018-04-04","751930","3","1"
"2018-04-05","670633","2","1"
"2018-04-05","735505","1","1"
"2018-04-05","611907","1","1"
"2018-04-06","653176","4","1"
"2018-04-06","709601","0","1"
"2018-04-06","721462","1","1"
"2018-04-06","705265","3","1"
"2018-04-07","615742","0","1"
"2018-04-04","615731","2","1"
"2018-04-01","723444","0","2"
"2018-04-01","692064","0","3"
"2018-04-01","615044","0","11"
"2018-04-01","610959","1","8"
"2018-04-01","745410","4","1"
"2018-04-01","730234","0","5"
"2018-04-01","740969","0","2"
"2018-04-01","716195","1","2"
"2018-04-01","677265","0","9"
"2018-04-02","715926","3","2"
"2018-04-02","727974","3","2"
"2018-04-03","745124","1","1"
"2018-04-04","604514","0","1"
"2018-04-05","681288","0","5"
"2018-04-05","658164","0","2"
"2018-04-05","744581","1","1"
"2018-04-05","743263","1","2"
"2018-04-06","744802","3","2"
"2018-04-06","706600","3","1"
"2018-04-06","692337","0","3"
"2018-04-06","650490","2","2"
"2018-04-06","725731","4","2"
"2018-04-07","702414","0","2"
"2018-04-07","742986","0","2"
"2018-04-07","731863","2","4"
"2018-04-07","748373","4","3"
"2018-04-03","704114","3","1"
"2018-04-03","729900","0","3"
"2018-04-01","601552","4","4"
"2018-04-06","709076","1","2"
"2018-04-01","692477","1","3"
"2018-04-07","703801","4","2"
"2018-04-06","751826","4","2"
"2018-04-06","706843","2","1"
"2018-04-04","694388","3","1"
"2018-04-06","665534","4","1"
"2018-04-01","726679","1","2"
"2018-04-01","716175","0","1"
"2018-04-01","684034","1","1"
"2018-04-01","722243","1","2"
"2018-04-01","743263","3","3"
"2018-04-02","726435","3","3"
"2018-04-03","674856","0","3"
"2018-04-03","708324","2","1"
"2018-04-03","707666","1","4"
"2018-04-04","634131","2","3"
"2018-04-04","652647","1","1"
"2018-04-05","699546","0","4"
"2018-04-05","729087","4","1"
"2018-04-05","709601","1","1"
"2018-04-05","738075","3","1"
"2018-04-05","691534","2","1"
"2018-04-05","722964","2","1"
"2018-04-05","610421","0","2"
"2018-04-06","522695","4","1"
"2018-04-06","749410","0","6"
"2018-04-06","713375","3","1"
"2018-04-06","727300","0","3"
"2018-04-07","704950","2","1"
"2018-04-07","685839","1","1"
"2018-04-07","617014","3","1"
"2018-04-07","750143","1","7"
"2018-04-07","732243","3","2"
"2018-04-07","676549","2","1"
"2018-04-07","736798","1","1"
"2018-04-07","680082","2","1"
"2018-04-07","704114","0","2"
"2018-04-07","685307","4","6"
"2018-04-03","727695","0","1"
"2018-04-06","628642","4","1"
"2018-04-06","733434","2","1"
"2018-04-01","706189","4","1"
"2018-04-06","658282","1","2"
"2018-04-06","704905","4","3"
"2018-04-06","686396","3","1"
"2018-04-06","615044","2","1"
"2018-04-05","745186","4","2"
"2018-04-03","653803","1","1"
"2018-04-01","745161","4","1"
"2018-04-01","608316","0","1"
"2018-04-01","630817","0","2"
"2018-04-02","702408","4","3"
"2018-04-02","732909","3","1"
"2018-04-03","713375","0","1"
"2018-04-05","737722","0","3"
"2018-04-05","742040","0","1"
"2018-04-05","712951","3","2"
"2018-04-05","731527","0","1"
"2018-04-05","715820","2","2"
"2018-04-05","743164","1","3"
"2018-04-05","640845","3","2"
"2018-04-06","741373","4","1"
"2018-04-06","725092","4","1"
"2018-04-06","742986","1","1"
"2018-04-06","635672","4","1"
"2018-04-06","718219","1","1"
"2018-04-06","749240","2","1"
"2018-04-06","733176","1","2"
"2018-04-07","739713","4","1"
"2018-04-07","749987","4","1"
"2018-04-07","694468","0","2"
"2018-04-06","604514","0","1"
"2018-04-06","705698","1","2"
"2018-04-01","728120","0","4"
"2018-04-06","703233","0","2"
"2018-04-02","730400","4","2"
"2018-04-01","746021","1","1"
"2018-04-05","708927","1","1"
"2018-04-03","709601","1","1"
"2018-04-06","702178","3","2"
"2018-04-04","739457","0","1"
"2018-04-02","733051","4","1"
"2018-04-01","657071","0","1"
"2018-04-02","686688","3","1"
"2018-04-03","655522","1","1"
"2018-04-04","702178","2","1"
"2018-04-04","718803","1","1"
"2018-04-04","642465","0","1"
"2018-04-04","720047","4","1"
"2018-04-05","737183","2","1"
"2018-04-05","669611","1","1"
"2018-04-05","649980","4","1"
"2018-04-05","707485","2","1"
"2018-04-06","733128","3","1"
"2018-04-06","742400","1","2"
"2018-04-06","702530","4","2"
"2018-04-06","700973","2","1"
"2018-04-07","693432","1","1"
"2018-04-07","733939","1","1"
"2018-04-07","724957","1","1"
"2018-04-07","662721","2","1"
"2018-04-01","739095","2","1"
"2018-04-02","724633","3","1"
"2018-04-02","730456","4","1"
"2018-04-02","679253","2","1"
"2018-04-03","735916","3","1"
"2018-04-02","677843","3","1"
"2018-04-01","642919","2","1"
"2018-04-02","685536","3","1"
"2018-04-01","615727","4","12"
"2018-04-01","715108","0","3"
"2018-04-01","575951","2","3"
"2018-04-01","684519","2","5"
"2018-04-01","728793","0","1"
"2018-04-02","700724","2","1"
"2018-04-02","662699","4","2"
"2018-04-02","685309","1","1"
"2018-04-03","604556","2","2"
"2018-04-03","634770","0","3"
"2018-04-03","618161","2","3"
"2018-04-04","613850","1","2"
"2018-04-04","735541","1","1"
"2018-04-04","732105","3","1"
"2018-04-04","744349","0","1"
"2018-04-04","683222","4","1"
"2018-04-04","740089","0","1"
"2018-04-04","682536","1","1"
"2018-04-04","677843","0","1"
"2018-04-05","744315","2","1"
"2018-04-05","574848","4","2"
"2018-04-05","664441","0","1"
"2018-04-06","726627","3","3"
"2018-04-06","739289","0","2"
"2018-04-06","703324","2","3"
"2018-04-06","741373","2","2"
"2018-04-06","566306","3","1"
"2018-04-06","741103","4","1"
"2018-04-06","745834","0","2"
"2018-04-06","723078","4","2"
"2018-04-06","742805","4","2"
"2018-04-07","721274","3","1"
"2018-04-07","750592","1","1"
"2018-04-07","701575","3","1"
"2018-04-07","735609","0","5"
"2018-04-07","692384","1","2"
"2018-04-07","735076","2","1"
"2018-04-07","745995","1","3"
"2018-04-07","734885","4","2"
"2018-04-07","599694","4","1"
"2018-04-02","714335","0","1"
"2018-04-03","703147","1","1"
"2018-04-05","730974","2","1"
"2018-04-01","738993","2","1"
"2018-04-05","711888","0","4"
"2018-04-01","691534","4","3"
"2018-04-01","698041","4","2"
"2018-04-07","637921","0","1"
"2018-04-06","606393","0","1"
"2018-04-02","616098","3","1"
"2018-04-01","747014","1","1"
"2018-04-05","733472","3","2"
"2018-04-05","739609","4","1"
"2018-04-06","743188","2","2"
"2018-04-03","726510","3","1"
"2018-04-01","725980","0","1"
"2018-04-01","686396","0","2"
"2018-04-01","733313","4","1"
"2018-04-02","678310","4","1"
"2018-04-02","706166","1","1"
"2018-04-04","722022","2","1"
"2018-04-05","729516","0","2"
"2018-04-05","741524","1","1"
"2018-04-05","644145","2","1"
"2018-04-06","692443","3","1"
"2018-04-06","721895","0","1"
"2018-04-06","726479","0","6"
"2018-04-06","731383","3","1"
"2018-04-06","704073","3","2"
"2018-04-06","579235","1","1"
"2018-04-07","715060","1","2"
"2018-04-07","741858","0","1"
"2018-04-07","684002","2","2"
"2018-04-07","742040","3","2"
"2018-04-07","668146","2","3"
"2018-04-01","603649","3","1"
"2018-04-03","727384","0","1"
"2018-04-04","744524","4","1"
"2018-04-01","656018","0","2"
"2018-04-05","594028","4","1"
"2018-04-07","693243","0","1"
"2018-04-07","742805","1","1"
"2018-04-06","720044","4","3"
"2018-04-03","702899","1","2"
"2018-04-02","609422","0","1"
"2018-04-01","719512","2","1"
"2018-04-01","741846","4","4"
"2018-04-01","728542","1","3"
"2018-04-02","664216","3","1"
"2018-04-02","633399","2","1"
"2018-04-02","657114","2","1"
"2018-04-02","712950","2","1"
"2018-04-03","733945","4","1"
"2018-04-05","739344","2","1"
"2018-04-05","688638","2","1"
"2018-04-05","737652","1","1"
"2018-04-05","688547","3","1"
"2018-04-05","727374","4","1"
"2018-04-05","625116","4","1"
"2018-04-06","741338","0","1"
"2018-04-06","735581","4","2"
"2018-04-06","733528","4","1"
"2018-04-06","702080","3","2"
"2018-04-07","744315","1","2"
"2018-04-07","720145","4","2"
"2018-04-07","716226","0","1"
"2018-04-07","715967","1","2"
"2018-04-07","594529","1","1"
"2018-04-06","726880","1","1"
"2018-04-05","737722","2","2"
"2018-04-04","715512","4","1"
"2018-04-03","731938","2","1"
"2018-04-02","698514","0","1"
"2018-04-05","701718","4","1"
"2018-04-05","722575","2","1"
"2018-04-01","656687","3","1"
"2018-04-02","712178","2","1"
"2018-04-02","732828","4","1"
"2018-04-02","729494","3","1"
"2018-04-03","655522","3","1"
"2018-04-03","736957","3","1"
"2018-04-03","657928","4","1"
"2018-04-04","706178","3","1"
"2018-04-04","710904","0","1"
"2018-04-04","680206","1","1"
"2018-04-04","638221","3","1"
"2018-04-04","745038","2","2"
"2018-04-05","677748","3","1"
"2018-04-05","713351","1","1"
"2018-04-05","719310","1","1"
"2018-04-05","650290","1","1"
"2018-04-05","622370","4","1"
"2018-04-06","625713","1","1"
"2018-04-06","606743","2","1"
"2018-04-06","574904","0","1"
"2018-04-06","745480","2","1"
"2018-04-06","744115","3","2"
"2018-04-07","587842","3","1"
"2018-04-07","661089","4","1"
"2018-04-06","734837","2","1"
"2018-04-02","728542","0","1"
"2018-04-02","736985","1","1"
"2018-04-07","727468","2","1"
"2018-04-03","637991","3","1"
"2018-04-01","742726","1","6"
"2018-04-01","723913","2","1"
"2018-04-01","734344","0","4"
"2018-04-01","729805","0","4"
"2018-04-01","739750","3","1"
"2018-04-01","594404","0","3"
"2018-04-01","743549","4","3"
"2018-04-01","689254","3","2"
"2018-04-01","644861","0","7"
"2018-04-01","695507","1","4"
"2018-04-01","618547","4","4"
"2018-04-02","658282","0","3"
"2018-04-03","684042","3","3"
"2018-04-03","719315","2","1"
"2018-04-03","645959","0","3"
"2018-04-03","601160","0","4"
"2018-04-03","615044","3","1"
"2018-04-01","603260","3","2"
"2018-04-04","726435","0","1"
"2018-04-05","710094","2","1"
"2018-04-05","741967","2","3"
"2018-04-05","702532","2","3"
"2018-04-05","645959","2","2"
"2018-04-06","649658","3","2"
"2018-04-06","729744","2","1"
"2018-04-06","740957","1","2"
"2018-04-06","734294","2","1"
"2018-04-06","732834","1","1"
"2018-04-06","737375","4","2"
"2018-04-06","737183","3","3"
"2018-04-06","741811","1","3"
"2018-04-06","684519","4","3"
"2018-04-06","668074","2","2"
"2018-04-01","696916","1","5"
"2018-04-01","736749","2","2"
"2018-04-01","745038","3","6"
"2018-04-07","748173","2","3"
"2018-04-07","692064","3","2"
"2018-04-07","712488","4","1"
"2018-04-07","723462","2","3"
"2018-04-07","727850","2","2"
"2018-04-07","680206","1","2"
"2018-04-07","709886","1","3"
"2018-04-07","749410","2","5"
"2018-04-07","712488","3","2"
"2018-04-01","685840","0","5"
"2018-04-07","638221","1","4"
"2018-04-07","681290","1","2"
"2018-04-07","739750","4","1"
"2018-04-01","692084","3","1"
"2018-04-02","697885","1","1"
"2018-04-07","726479","2","4"
"2018-04-07","695570","2","2"
"2018-04-01","737910","1","2"
"2018-04-07","680206","4","2"
"2018-04-04","698776","0","2"
"2018-04-01","734533","3","4"
"2018-04-03","677843","3","2"
"2018-04-04","689277","0","2"
"2018-04-01","616098","3","2"
"2018-04-04","733472","2","1"
"2018-04-04","739498","3","4"
"2018-04-02","719109","0","1"
"2018-04-05","703150","4","2"
"2018-04-06","677561","4","1"
"2018-04-02","726170","2","2"
"2018-04-02","727288","0","1"
"2018-04-06","715967","0","1"
"2018-04-07","729003","1","4"
"2018-04-01","689733","1","3"
"2018-04-06","722575","0","2"
"2018-04-06","674460","4","3"
"2018-04-02","627854","1","2"
"2018-04-02","632358","4","1"
"2018-04-03","711897","4","1"
"2018-04-03","732426","1","1"
"2018-04-03","743854","1","1"
"2018-04-03","673871","3","1"
"2018-04-03","736504","2","1"
"2018-04-04","700709","3","3"
"2018-04-03","600066","3","2"
"2018-04-04","726113","0","2"
"2018-04-05","689159","4","2"
"2018-04-05","745034","2","1"
"2018-04-04","651058","0","1"
"2018-04-04","728535","1","1"
"2018-04-05","725917","0","1"
"2018-04-06","695570","3","1"
"2018-04-04","683222","1","1"
"2018-04-07","713402","1","1"
"2018-04-07","713402","2","2"
"2018-04-05","733891","0","2"
"2018-04-05","732018","0","1"
"2018-04-05","674067","0","1"
"2018-04-03","697885","2","1"
"2018-04-05","616196","3","3"
"2018-04-06","728686","3","2"
"2018-04-06","611334","0","2"
"2018-04-07","729235","3","1"
"2018-04-07","729068","0","1"
"2018-04-07","702414","3","2"
"2018-04-02","738646","3","1"
"2018-04-04","694218","1","3"
"2018-04-07","723160","3","6"
"2018-04-07","675884","3","1"
"2018-04-07","751352","4","1"
"2018-04-07","711888","0","1"
"2018-04-01","737400","3","1"
"2018-04-06","741010","3","1"
"2018-04-02","753688","3","2"
"2018-04-01","703463","2","3"
"2018-04-02","734792","0","1"
"2018-04-01","734946","2","1"
"2018-04-03","576841","3","1"
"2018-04-01","611135","0","2"
"2018-04-02","730974","4","1"
"2018-04-01","735076","3","1"
"2018-04-01","692815","2","1"
"2018-04-02","705894","0","2"
"2018-04-02","675548","2","1"
"2018-04-03","667925","0","1"
"2018-04-03","716175","1","1"
"2018-04-03","680082","2","1"
"2018-04-03","606324","1","1"
"2018-04-04","638242","0","1"
"2018-04-04","718746","0","1"
"2018-04-04","655268","2","1"
"2018-04-05","717070","0","1"
"2018-04-05","647049","2","1"
"2018-04-05","638664","2","1"
"2018-04-06","678772","3","2"
"2018-04-06","736716","2","1"
"2018-04-06","638572","4","1"
"2018-04-07","733176","1","1"
"2018-04-07","637838","0","2"
"2018-04-07","733542","2","1"
"2018-04-01","733542","4","2"
"2018-04-07","734946","4","1"
"2018-04-03","606324","4","1"
"2018-04-07","745749","2","1"
"2018-04-01","687714","3","3"
"2018-04-01","723078","0","11"
"2018-04-01","728535","1","3"
"2018-04-01","733467","4","3"
"2018-04-01","664441","4","1"
"2018-04-01","739243","4","3"
"2018-04-01","692084","2","1"
